ST	ICL1	MDR1	SAPT2	SAPT4	XYR1	ZWF1a	clonal_complex
901	1	3	59	11	24	9	
902	46	17	1	3	62	59	
903	3	58	1	3	34	3	
904	3	9	3	8	60	6	
905	10	19	60	101	159	58	
906	9	7	12	46	160	22	
907	1	3	3	17	74	1	
908	5	54	45	47	48	22	
909	9	7	12	46	48	9	
910	1	22	12	17	146	7	
911	1	7	3	17	54	3	
912	9	129	12	46	41	22	
913	1	174	12	17	60	22	
914	1	21	9	5	78	1	
915	1	49	10	1	161	1	
916	3	3	12	10	16	3	
917	47	93	29	82	138	30	
918	1	1	2	23	54	1	
919	3	3	12	10	54	3	
920	15	91	29	102	105	38	
921	1	7	3	10	3	6	
922	1	175	3	17	162	1	
923	1	17	22	14	100	3	
924	9	129	12	46	48	22	
925	9	7	4	10	70	9	
926	1	66	12	20	163	3	
927	1	90	1	7	9	7	
928	1	3	3	56	9	3	
929	1	3	3	56	57	3	
930	1	4	3	23	43	9	
931	1	7	2	7	97	9	
932	1	7	3	7	14	6	
933	1	7	3	7	24	6	
934	1	9	12	7	43	9	
935	1	16	3	7	2	3	
936	1	24	3	7	48	7	
937	1	24	3	7	125	6	
938	1	96	2	13	136	2	
939	1	110	39	38	3	7	
940	3	3	3	11	3	6	
941	3	7	1	6	11	4	
942	3	60	12	19	16	3	
943	5	7	3	23	18	4	
944	5	7	3	23	18	7	
945	5	89	3	23	48	4	
946	9	22	3	10	13	47	
947	35	34	33	7	24	34	
948	36	7	1	17	23	37	
949	36	100	1	56	23	37	
950	36	101	1	14	23	37	
951	36	101	1	17	23	37	
952	36	101	1	56	23	54	
953	1	3	3	17	54	22	
954	1	3	3	104	54	3	
955	1	3	61	17	54	3	
956	1	4	22	106	135	9	
957	1	7	3	7	1	3	
958	1	7	12	103	43	22	
959	1	16	1	10	4	40	
960	1	44	4	7	58	3	
961	1	58	22	35	4	1	
962	1	58	22	35	23	1	
963	1	58	22	35	165	1	
964	1	81	3	105	166	22	
965	1	178	3	7	9	22	
966	3	1	12	7	74	7	
